name,price,description,image
Black Forest,₹600 per kg,Classic chocolate sponge with cherries and fresh cream.,black-forest.png
White Forest,₹600 per kg,Soft vanilla sponge with whipped cream and cherries.,white-forest.png
Red Velvet,₹600 per kg,Moist red velvet layers with smooth cream frosting.,red-velvet.png
Vancho,₹850 per kg,Layered vanilla and chocolate delight with rich topping.,vancho.png
Butter Scotch,₹850 per kg,Crunchy butterscotch bits with caramel cream.,butterscotch.png
Honey Cake,₹1100 per kg,Soft sponge soaked in honey syrup with coconut topping.,honey-cake.png
Nutty Bubly,₹980 per kg,Crunchy nuts and chocolate layers for nut lovers.,nutty-bubly.png
Pista Cake,₹850 per kg,Delicate pistachio flavoured cake with creamy frosting.,pista.png
Strawberry Cake,₹850 per kg,Light sponge with strawberry cream and topping.,strawberry.png
Mango Cake,₹850 per kg,Rich mango flavour with seasonal mango cream.,mango.png
Pineapple Cake,₹850 per kg,Soft sponge layered with pineapple and fresh cream.,pineapple.png
Chocolate Cake,₹850 per kg,Rich chocolate sponge with smooth chocolate cream.,chocolate.png
Abc Cake,₹850 per kg,Rich chocolate sponge with smooth chocolate ,abc.png
